15.73,70.07,foo
36.55,49.35,baz
53.60,46.32,baz
39.00,45.20,baz
17.58,67.16,bar
31.88,66.99,bar
8.50,60.99,foo
43.72,48.07,baz
35.92,46.63,baz
63.48,46.87,baz
34.35,55.53,baz
42.12,55.94,baz
22.01,57.10,bar
15.03,69.87,foo
41.88,52.46,baz
40.22,62.62,bar
43.66,48.06,baz
9.80,67.89,foo
24.73,68.50,bar
11.65,66.59,foo
25.99,83.56,bar
22.82,79.24,bar
11.94,70.91,foo
24.46,57.63,bar
42.46,37.55,baz
52.81,44.03,baz
5.43,67.86,foo
14.62,81.64,foo
36.37,47.56,baz
7.35,78.20,foo
13.31,75.68,foo
48.55,50.54,baz
22.59,73.32,bar
26.03,69.72,bar
22.47,82.76,bar
14.04,66.49,bar
54.38,42.14,baz
43.21,49.98,baz
15.71,69.08,foo
26.92,51.46,bar
17.51,76.08,foo
33.97,61.13,bar
40.83,49.88,baz
44.30,48.93,baz
14.42,78.29,foo
49.00,45.31,baz
15.81,60.27,bar
36.17,45.88,baz
43.65,50.63,baz
22.65,55.09,bar
4.81,69.11,bar
14.36,76.78,foo
16.42,64.36,bar
45.78,55.42,baz
27.67,58.84,bar
49.18,61.30,baz
47.91,53.06,baz
13.10,81.81,foo
34.66,53.38,baz
28.53,73.57,bar
13.11,72.52,foo
13.34,75.93,foo
23.66,53.52,bar
16.69,53.91,bar
18.87,79.76,foo
28.47,64.35,bar
42.78,51.96,baz
11.65,81.43,foo
15.55,74.04,bar
19.34,65.85,foo
18.08,72.32,foo
16.32,88.04,foo
14.00,70.17,foo
24.94,76.48,bar
26.12,58.59,bar
7.38,85.36,foo
27.27,64.09,bar
14.30,69.07,foo
16.27,75.23,foo
19.22,74.26,foo
41.55,45.28,baz
47.83,44.01,baz
41.12,52.33,baz
28.25,65.65,bar
10.82,71.29,foo
37.50,51.93,baz
33.53,69.35,bar
13.90,75.46,foo
38.39,67.60,bar
47.72,51.76,baz
45.87,66.03,baz
17.74,63.70,bar
18.22,68.19,bar
24.76,66.37,bar
30.35,69.29,bar
12.67,68.19,bar
11.41,74.86,foo
16.03,74.49,foo
21.78,77.33,foo
30.04,54.96,bar
43.31,52.46,baz
26.34,75.70,bar
24.94,68.04,foo
9.96,57.03,foo
46.84,47.48,baz
23.22,56.16,bar
19.41,60.59,bar
49.04,54.90,baz
45.94,37.90,baz
21.02,70.82,bar
36.41,57.95,bar
48.10,51.68,baz
22.22,83.11,bar
17.72,74.87,foo
28.68,60.27,bar
49.27,55.92,baz
38.27,55.40,baz
26.78,73.29,foo
14.34,57.69,bar
46.56,60.91,baz
42.56,67.89,bar
15.72,68.02,bar
22.71,72.07,bar
28.71,47.08,baz
31.62,71.50,bar
47.63,47.18,baz
42.75,49.23,baz
18.90,66.01,bar
0.78,79.84,foo
12.27,75.67,foo
45.11,52.12,baz
24.24,72.72,foo
17.68,61.83,foo
51.83,56.35,baz
48.82,47.81,baz
18.70,85.02,foo
18.61,71.07,foo
13.58,79.37,foo
33.14,40.68,baz
10.79,78.25,foo
39.63,43.78,baz
26.84,64.38,bar
17.09,72.16,foo
19.82,72.88,foo
25.36,73.37,bar
5.69,98.28,foo
64.66,50.38,baz
31.80,57.77,bar
51.80,35.07,baz
42.16,50.16,baz
41.24,49.61,baz
28.31,72.94,bar
53.34,53.10,baz
13.48,65.29,bar
39.57,45.30,baz
22.70,66.94,bar
13.72,70.75,bar
22.36,70.68,foo
27.49,71.47,bar
20.39,54.78,bar
45.29,48.88,baz
7.79,73.31,bar
26.70,60.92,bar
51.15,50.18,baz
